pl_orbper,st_rad,sy_dist,sy_vmag,sy_jmag,sy_gaiamag,is_exoplanet
41.688644,0.956122,179.461,10.849,9.770001,10.8644,1
41.6855,0.928,179.461,10.849,9.770001,10.8644,1
41.6855,1.08,179.461,10.849,9.770001,10.8644,1
6.7987,0.282,,17.6984,13.464,16.4386,1
28.1656,,159.259,16.014,12.759,15.2612,1
28.1696,0.374,159.259,16.014,12.759,15.2612,1
50.285869,0.74,829.248,11.668,9.994,11.5044,0
50.27762,10.96,829.248,11.668,9.994,11.5044,0
2.519334,1.45,476.884,12.293,11.236,12.1049,0
2.5194039,1.76,476.884,12.293,11.236,12.1049,0
2.519386,2.03,476.884,12.293,11.236,12.1049,0
2.51881781,1.76277,476.884,12.293,11.236,12.1049,0
2.5194078,1.72,476.884,12.293,11.236,12.1049,0
0.72091,0.94,706.391,14.321,12.975,14.147,1
2.13174,,253.026,13.948,12.086,13.7368,1
,0.52,527.641,15.484,13.195,15.0199,0
5.7968861,0.72,233.55,12.329,10.386,11.7062,0
5.79687,0.79,233.55,12.329,10.386,11.7062,0
0.877214,0.93,232.1,11.746,10.588,11.6477,1
0.87724,0.98,232.1,11.746,10.588,11.6477,1
0.87703,0.990833,232.1,11.746,10.588,11.6477,1
0.877183,0.932487,232.1,11.746,10.588,11.6477,1
3.80464,,476.882,12.081,10.952,11.9456,1
27.770388,0.71,252.383,13.595,11.566,13.2049,0
27.77045,8.15,252.383,13.595,11.566,13.2049,0
2.71578,,334.967,14.668,12.764,14.3234,1
2.0478,0.655,,14.974,12.856,,1
27.27048734,2.564,499.583,11.505,10.129,11.1348,0
27.242808,2.54,499.583,11.505,10.129,11.1348,0
27.24273,0.92,499.583,11.505,10.129,11.1348,0
27.242912,0.9,499.583,11.505,10.129,11.1348,0
3.96151,,257.443,14.705,12.41,14.2575,1
3.96165,0.634,257.443,14.705,12.41,14.2575,1
4.1698,0.628461,436.488,14.983,13.06,14.5885,1
4.16959,,436.488,14.983,13.06,14.5885,1
4.16888,0.628,436.488,14.983,13.06,14.5885,1
1.19478,0.235,303.404,18.19,13.996,16.6373,0
,0.7,2140.25,13.36,11.477,13.0277,0
1.5771832,1.94,273.796,8.718,8.483,,0
1.57753,1.93,273.796,8.718,8.483,,0
23.7782,2.09,401.292,10.411,9.958,10.4274,0
12.86772,1.79,760.324,13.12,11.963,12.9556,0
12.866412,1.642,760.324,13.12,11.963,12.9556,0
12.866539,1.18,760.324,13.12,11.963,12.9556,0
1.8461222,1.82,1120.21,13.601,12.53,13.4593,0
1.84617,0.21,1120.21,13.601,12.53,13.4593,0
0.6308,,,15.469,10.492,,0
1.4408,1.58859,157.614,12.892,9.575,12.0723,0
0.841202,2.31,523.657,12.949,10.381,12.2881,0
22.7984,1.37,,15.035,12.204,14.4889,0
1.8204,0.5139,161.737,,12.57,15.8035,0
2.809,0.474383,166.168,,12.932,16.6459,0
1.404411,2.02,166.168,,12.932,16.6459,0
1.4044283,0.12,166.168,,12.932,16.6459,0
8.2781,,,14.802,12.033,,0
8.2758,1.6,,14.802,12.033,,0
8.2766395,0.11,,14.802,12.033,,0
