pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,is_exoplanet
2459229.63,2.1713484,2.0172196,656.8860989,5.8181633,22601.94858,3127.204052,9.604,485.735,10249.0,4.19,2.16986,0
2459224.688,1.8675574,1.408,1500.0,23.7529,2860.61,2037.0,9.299501,943.109,8924.0,,5.73,0
2458493.396,2.74323,3.167,383.41,,1177.36,1631.0,9.3003,7728.17,5388.5,4.15,,0
2459987.047,3.5730141,3.37,755.0,11.3113,54679.3,4260.0,9.1355,356.437,9219.0,4.14,2.15,0
2459985.157,4.5505945,2.654,3731.0,7.10841,414.775,1257.0,9.1309,100.711,5613.0,,1.09,0
2459229.985,2.5047918,4.3797563,2270.540219,8.6950898,1750.932635,1649.82207,9.2386,,6616.0,,1.53429,0
2460258.236,2.0483755,2.767,483.0,3.19621,5644.4,,8.9362,144.297,6858.5,4.2,1.57,0
2458326.009,1.4303699,1.6165994,18960.71229,13.1874503,1281.240825,1525.904809,12.4069,375.31,5600.0,4.48851,0.890774,1
2459228.878,0.6808702,2.4634563,1507.800689,5.9115908,87140.69959,4382.026606,8.45086,485.122,9438.0,,1.0,0
2459232.248,5.4255548,3.9637474,14939.63422,,273.5880696,1037.275305,7.6095,510.295,8868.7,,,0
2459985.657,1.4095184,0.9484999,2841.510326,,1650.422071,1625.618022,7.678,224.672,9307.0,,,0
2459963.61,1.3730466,2.5708515,1301.506534,42.1479417,3160.632833,1912.331864,10.7069,906.496,4897.0,,6.7996101,0
2459238.831,12.6889415,7.9201001,3232.852789,14.0608342,425.1594177,1158.131037,10.6257,368.646,7601.0,4.31,1.53641,0
2458518.965,1.10422,2.37,14177.7,21.0448,39459.3,3926.0,10.6019,406.997,6995.2,4.07,1.61,0
2458492.781,4.95912,2.509,7440.0,22.9123,673.55,1419.0,10.6254,360.541,5889.0,3.86,2.0,0
2460187.917,4.4119378,3.65,15062.0,15.4706,653.252,1408.0,9.7109,175.631,6280.0,4.32092,1.21,1
2458521.291,3.28892,3.793,10518.9,,29832.6,3661.0,10.7173,906.827,8734.2,4.1,,0
2458492.904,1.90879,1.909,618.482,3.34688,985.807,1561.0,10.5551,235.974,6022.6,4.52,1.22,0
2458547.448,3.09574,4.475,380.0,3.4262,18087.9,3230.0,8.72924,120.666,6084.0,4.13,1.41,0
2459303.304,1.3214483,3.435,2180.0,21.8839,35623.2,3827.0,9.697,316.398,5050.8,3.56,2.99,0
2458339.723,18.0157,2.524,610.0,21.644,7.64364,463.0,10.0814,692.266,4709.0,,7.61,0
2460720.808,14.2628757,6.9350494,913.2067174,2.4765813,153.2069421,980.3628831,9.9138,105.677,5690.0,4.58,0.853898,0
2458544.481,1.01606,2.843,240.0,1.20704,2784.04,2023.0,7.9059,23.7748,4634.0,4.64,0.68,0
2458365.893,36.22214,5.107,7170.0,,,,6.841,,,,,0
2458327.253,3.547854,3.494333,10424.3718,14.581841,1212.004376,1504.858953,11.5232,411.211,6351.0,4.22896,1.4,1
2460054.784,12.1246519,4.612,7279.0,17.6729,207.32,1057.0,9.5706,78.41273,4807.6,4.17,1.07,0
2459304.838,5.652623,3.434,1250.0,8.94354,2717.06,2011.0,9.7318,270.771,6415.4,3.98,1.92,0
